Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
187572,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Achoerodus,viridis,"(Steindachner, 1866)",,,,,Heterochoerops viridis  |Heterochoerops viridis  |Platychoerops badius  |Platychoerops badius  |Trochocopus unicolor  |Trochocopus unicolor  ,"Brown Groper, Eastern Blue Groper, Eastern Blue Wrasse, Giant Pig Fish, Red Groper",,,NT,,3.1,2010,stable,N
132814,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Aethaloperca,rogaa,"(ForsskÂl, 1775)",,,,,Aethaloperca rogae|Aethaloperca rogoa|Aetheloperca rogaa|Aetholoperca rogaa|Athaloperca rogae|Cepahlopholis rogaa|Perca lunaria|Perca rogaa,"Redmouth Grouper, Redmouth Rockcod, Redmouth Groper, Red-flushed Cod, Red-flushed Rock-cod","Matongo, Merou Noir, Vielle Roga",Cherna Roga,DD,,3.1,2008,unknown,N
194298,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,argentea,"(Forster, 1801)",,,,,Albula erythrocheilos  |Albula forsteri  |Albula neoguinaica  |Esox argenteus  |Synodus argenteus  ,,,,DD,,3.1,2012,unknown,N
178043,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,esuncula,"(Garman, 1899)",,,,,Albula esunculus  |Atopichthys esunculus  ,Eastern Pacific Bonefish,,,LC,,3.1,2010,unknown,N
194299,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,glossodonta,"(ForsskÂl, 1775)",,,,,Argentina glossodonta  ,Shortjaw Bonefish,,,VU,A2bcd,3.1,2012,decreasing,N
199659,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,koreana,"Kwun & Kim, 2011",,,,,,,,,DD,,3.1,2012,unknown,N
190357,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,nemoptera,"(Fowler, 1911)",,,,,Dixonina nemoptera  ,"Caribbean Bonefish, Threadfin Bonefish, Shafted Bonefish","Banane Fil, Macabi","Macabi, Inllaul·, Liguija, MacabÌ, Macabi de Hebra, MacabÌ de Hebra, Macabi RatÛn, RatÛn, Zorro de Hebra",DD,,3.1,2012,unknown,N
194301,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,oligolepis,"Hidaka, Iwatsuki & Randall, 2008",,,,,,Smallscale Bonefish,,,DD,,3.1,2012,unknown,N
194302,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,virgata,"Jordan & Jordan, 1922",,,,,,Longjaw Bonefish,,,DD,,3.1,2012,unknown,N
194303,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,vulpes,"(Linnaeus, 1758)",,,,,,,,,NT,,3.1,2012,decreasing,N
170349,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Allothunnus,fallai,"Serventy, 1948",,,,,,Slender Tuna,Thon ÈlÈgant,At˙n LanzÛn,LC,,3.1,2011,stable,N
132764,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Alphestes,afer,"(Bloch, 1793)",,,,,Epinephelus afer|Epinephelus lightfooti|Plectropoma chloropterum|Plectropoma monacanthus,"Mutton Hamlet, Small Grouper, Hamlet, Mossfish, Mossy Grouper, Cherna, Red Nigger Hamlet, Coney",Varech,"Aceituna, Cherne, Guaseta, Mantequilla, Mero",LC,,3.1,2008,unknown,N
132754,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Alphestes,immaculatus,"Breder, 1936",,,,,Alphestes fasciatus  |Alphestes galapagensis  |Alphestes immaculatus|Epinephelus afer  ,Pacific Mutton Hamlet,Varech Pacifique,"Guaseta, Cabrilla, Guaseta Del Pacifico, Guaseta Pacifico, Guaseta Pintilla",LC,,3.1,2008,unknown,N
132809,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Alphestes,multiguttatus,"(G¸nther, 1867)",,,,,Epinephelus multiguttatus|Plectropoma multiguttatum,"Rivulated Mutton Hamlet, Rock Bass, Sea Bass, Pacific Guaseta","Vareche Veine, Varech Veine","Cherne, Cabrilla, Colorado, Companero De Mero, Guaseta Rayada, Guaseta Rayado, Guato, Mero",LC,,3.1,2008,unknown,N
187796,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Ammolabrus,dicrus,"Randall & Carlson, 1997",,,,,,Sand Wrasse,,,LC,,3.1,2010,unknown,N
165682,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Amphichaetodon,howensis,"(Waite, 1903)",,,,,Chaetodon howensis  ,"Lord Howe Island Butterflyfish, Lord Howe Coral Fish, Lord Howe Butterflyfish, Broad-barred Butterflyfish",,,LC,,3.1,2010,stable,N
165727,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Amphichaetodon,melbae,"Burgess & Caldwell, 1978",,,,,,"Narrow-barred Butterflyfish, Narrow-barred Butterflyfish",,,DD,,3.1,2010,unknown,N
154812,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Amphiprion,sandaracinos,"Allen, 1972",,,,,,"Orange Anemonefish, Eastern Skunk Anemonefish, Golden Anemonefish, Yellow Clownfish, Yellow skunk clownfish",,,LC,,3.1,2010,stable,N
